imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt0499097,Tom Clancy's Without Remorse,Tom Clancy's Without Remorse (2021),Movie,2021,5.8,41,7.2,44,,5.2,
tt7139936,A Rainy Day in New York,A Rainy Day in New York (2019),Movie,2019,6.5,38,6.5,,,6.4,
tt5867800,Aruvi,Aruvi (2016),Movie,2016,8.5,,7.8,89,,,
tt0822847,Priest,Priest (2011),Movie,2011,5.7,41,5.7,,,4.6,
tt10964468,Shakuntala Devi,Shakuntala Devi (2020),Movie,2020,6.1,,6.5,80,,,
tt0089114,Explorers,Explorers (1985),Movie,1985,6.5,58,6.3,,,5.9,
tt3387648,The Taking of Deborah Logan,The Taking of Deborah Logan (2014),Movie,2014,6,,6.3,,,5,
tt0417217,Two for the Money,Two for the Money (2005),Movie,2005,6.3,50,6,,7.3,5.4,
tt0062711,Barbarella,Barbarella (1968),Movie,1968,5.9,51,5.9,74,,5.2,
tt0439662,Fanaa,Fanaa (2006),Movie,2006,7.2,,6.8,,,6.6,
tt11617052,Undine,Undine (2020),Movie,2020,6.5,75,6.5,,,6.2,
tt0297181,I Spy,I Spy (2002),Movie,2002,5.4,35,5.4,16,,4.5,
tt0097579,An Innocent Man,An Innocent Man (1989),Movie,1989,6.5,39,6.1,,,5.3,
tt10214826,Agent Sai Srinivasa Athreya,Agent Sai Srinivasa Athreya (2019),Movie,2019,8.4,,7.4,,,,
tt5034474,The Assignment,The Assignment (2016),Movie,2016,4.6,34,5.4,,,4,
tt0058390,The Naked Kiss,The Naked Kiss (1964),Movie,1964,7.3,83,7.1,,,7.1,
tt1183374,Pet,Pet (2016),Movie,2016,5.7,48,5.8,,,5.3,
tt6980546,Bharath Ane Nenu,Bharath Ane Nenu (2018),Movie,2018,7.7,,6.7,83,,,
tt0040427,He Walked by Night,He Walked by Night (1948),Movie,1948,7.1,,6.7,,,6.6,
tt0100828,The Two Jakes,The Two Jakes (1990),Movie,1990,6.2,56,6.1,,,5.4,
tt2368553,Assault on Wall Street,Assault on Wall Street (2013),Movie,2013,6,24,5.9,,,4.7,
tt0069765,Bang the Drum Slowly,Bang the Drum Slowly (1973),Movie,1973,6.9,80,6.6,92,,6.2,
tt0091374,Lady Jane,Lady Jane (1986),Movie,1986,7.1,64,6.9,,,6.5,
tt0044685,Hans Christian Andersen,Hans Christian Andersen (1952),Movie,1952,6.9,,6.3,,,6,
tt4505666,Prescription Thugs,Prescription Thugs (2015),Movie,2015,7,45,6.3,69,,6.3,
tt0118980,Digging to China,Digging to China (1997),Movie,1997,6.8,,6.2,43,,6.2,
tt0386651,Mountain Patrol,Mountain Patrol (2004),Movie,2004,7.6,77,7.3,98,,6.7,
tt14164244,Sillunu Oru Kaadhal,Sillunu Oru Kaadhal (2021– ),TVSeries,2021,,,,,,,
tt2459022,Lost in Thailand,Lost in Thailand (2012),Movie,2012,6.2,55,6.4,,,5.8,
tt2325518,Beneath,Beneath (2013),Movie,2013,3.5,40,3.5,,,3.2,
tt5362940,Eternal Beauty,Eternal Beauty (2019),Movie,2019,6.4,71,6.1,,,5.5,
tt0126261,Desert Blue,Desert Blue (1998),Movie,1998,6.1,,5.6,37,,5,
tt1116182,Affinity,Affinity (2008),Movie,2008,6.2,,5.8,,,5.6,
tt9313424,From the Vine,From the Vine (2019),Movie,2019,5.9,,6,,,,
tt5659996,The Planters,The Planters (2019),Movie,2019,6.1,77,,95,,,
tt4356104,Es esmu seit,Es esmu seit (2016),Movie,2016,7.5,,7.1,,,6.5,
tt7428820,Summer Night,Summer Night (2019),Movie,2019,4.8,49,6.2,55,,,
tt4893334,Till Human Voices Wake Us,Till Human Voices Wake Us (2015),Movie,2015,6.2,,1,,,,
tt6417144,The Mothman of Point Pleasant,The Mothman of Point Pleasant (2017),Movie,2017,6.2,,5.4,,,,
tt0313443,Out of Time,Out of Time (2003),Movie,2003,6.5,63,6.3,64,,5.8,
tt2096673,Inside Out,Inside Out (2015),Movie,2015,8.1,94,7.9,98,,7.8,
tt0027189,The Wedding Night,The Wedding Night (1935),Movie,1935,6.6,,6.4,,,6.7,
tt2134170,10 Cent Pistol,10 Cent Pistol (2014),Movie,2014,4.8,37,5.9,,,,
tt0030256,I Met My Love Again,I Met My Love Again (1938),Movie,1938,5.5,,5.7,,,5.4,
tt5451640,Secrets of Deception,Secrets of Deception (2017),Movie,2017,4.2,,7.5,,,,
tt0106505,Calendar Girl,Calendar Girl (1993),Movie,1993,5.1,,5.1,11,,3.4,
tt0036379,Song of Texas,Song of Texas (1943),Movie,1943,6.3,,,,,,
tt1101624,Who Wrote the New Testament?,Who Wrote the New Testament? (2003– ),TVSeries,2003,6.8,,,,,,
tt1512201,Last Train Home,Last Train Home (2009),Movie,2009,7.7,86,7.4,,,7.4,
tt13031460,The Healing Garden,The Healing Garden (2021),Movie,2021,8.1,,4.7,,,,
tt0041198,Border Incident,Border Incident (1949),Movie,1949,7,,6.9,,,6.5,
tt0120613,A Walk on the Moon,A Walk on the Moon (1999),Movie,1999,6.6,70,6.1,,,5.6,
tt5579356,Dogged,Dogged (2017),Movie,2017,3.2,,9,,,,
tt7385782,And There Were 4,And There Were 4 (2018),Movie,2018,4,,9,,,,
tt0228459,Jingle Bells,Jingle Bells (1999),Movie,1999,6.1,,6,,,,
tt9510710,Bones of Brundage,Bones of Brundage (2018),Movie,2018,5.7,,,,,,
tt5670152,Traffik,Traffik (2018),Movie,2018,6,37,6.3,27,,4.9,
tt10299780,The Reunited States,The Reunited States (2021),Movie,2021,4.8,,7,60,,,
tt10197804,La Sucursal,La Sucursal (2019),Movie,2019,4.2,,,,,,
tt12637626,Konga TNT,Konga TNT (2020),Movie,2020,2.6,,,,,,
tt6208096,Modern Prodigal,Modern Prodigal (2019),Movie,2019,4.5,,,,,,
tt4603176,Marital Problems,Marital Problems (2017),Movie,2017,6.9,,,,,,
tt11384296,Brash Boys Club,Brash Boys Club (2020),Movie,2020,3.6,,,,,,
tt2622826,Avalanche Sharks,Avalanche Sharks (2014),Movie,2014,2.3,,3.5,,,2.2,
tt0079803,Return of the Tiger,Return of the Tiger (1977),Movie,1977,5.8,,6.3,,,,
tt0300922,All Babes Want to Kill Me,All Babes Want to Kill Me (2005),Movie,2005,3.9,,1.4,,,,
tt0242746,Out of Line,Out of Line (2001),Movie,2001,5,,8,,,,
tt1316041,Christian Blake,Christian Blake (2008),Movie,2008,3.3,,2,,,,
tt0462335,High-Rise,High-Rise (2015),Movie,2015,5.6,65,5.7,,,5,
